id,name,category,default_unit,primary_muscle,secondary_muscles,notes
weighted_dead_bug,Weighted Dead Bug,Ab/Core,,Abs,,
bird_dog_3sec_hold,Bird Dog (3-sec hold),Ab/Core,,Abs,,
ab_wheel_rollout,Ab Wheel Rollout,Ab/Core,,Abs,,
body_saw_sliders,Body Saw (sliders),Ab/Core,,Abs,,
band_pallof_press,Band Pallof Press,Ab/Core,,Obliques,,
slider_plank_circles,Slider Plank Circles,Ab/Core,,Abs,,
plank_shoulder_taps,Plank Shoulder Taps,Ab/Core,,Abs,,
suitcase_carry,Suitcase Carry,Carry,,Core,,
farmer_carry,Farmer Carry,Carry,,Core,,
hanging_knee_raise,Hanging Knee Raise,Ab/Core,,Abs,,
weighted_crunch,Weighted Crunch,Ab/Core,,Abs,,
rkc_plank,RKC Plank,Ab/Core,,Abs,,
weighted_plank,Weighted Plank,Ab/Core,,Abs,,
short_range_ab_wheel_rollout,Short-Range Ab Wheel Rollout,Ab/Core,,Abs,,
barbell_landmine_rotation,Barbell Landmine-Style Rotation,Ab/Core,,Obliques,,
band_woodchop,Band Woodchop,Ab/Core,,Obliques,,
band_pressout_hold,Band Press-Out Hold,Ab/Core,,Abs,,
front_rack_carry,Front-Rack Carry,Carry,,Core,,
zercher_carry,Zercher Carry,Carry,,Core,,
turkish_getup,Turkish Get-Up,Full Body,,Full Body,,
weighted_decline_situp,Weighted Decline Sit-Up,Ab/Core,,Abs,,
hanging_leg_raise,Hanging Leg Raise,Ab/Core,,Abs,,

bayesian_cable_curl,Bayesian Cable Curl,Arms,,Biceps,,
bench_dip,Bench Dip,Arms,,Triceps,,
cable_rope_hammer_curl,Cable Rope Hammer Curl,Arms,,Biceps,,
cable_triceps_kickback,Cable Triceps Kickback,Arms,,Triceps,,
concentration_cable_curl,Concentration Cable Curl,Arms,,Biceps,,
db_concentration_curl,DB Concentration Curl,Arms,,Biceps,,
db_curl,DB Curl,Arms,,Biceps,,
db_hammer_curl,DB Hammer Curl,Arms,,Biceps,,
db_preacher_curl,DB Preacher Curl,Arms,,Biceps,,
db_skull_crusher,DB Skull Crusher,Arms,,Triceps,,
ezbar_cable_curl,EZ-Bar Cable Curl,Arms,,Biceps,,
ezbar_curl,EZ-Bar Curl,Arms,,Biceps,,
ezbar_preacher_curl,EZ-Bar Preacher Curl,Arms,,Biceps,,
ezbar_skull_crusher,EZ-Bar Skull Crusher,Arms,,Triceps,,
hammer_preacher_curl,Hammer Preacher Curl,Arms,,Biceps,,
incline_db_stretch_curl,Incline DB Stretch Curl,Arms,,Biceps,,
katana_triceps_extension,Katana Triceps Extension,Arms,,Triceps,,
lean_forward_chest_dips,Lean Forward Chest dips,Arms,,Triceps,,
machine_preacher_curl,Machine Preacher Curl,Arms,,Biceps,,
overhead_cable_triceps_extension_bar,Overhead Cable Triceps Extension (Bar),Arms,,Triceps,,
overhead_cable_triceps_extension_rope,Overhead Cable Triceps Extension (Rope),Arms,,Triceps,,
seated_superbayesian_high_cable_curl,Seated Super-Bayesian High Cable Curl,Arms,,Biceps,,
triceps_pressdown_bar,Triceps Pressdown (Bar),Arms,,Triceps,,
triceps_pressdown_rope,Triceps Pressdown (Rope),Arms,,Triceps,,

arm_out_singlearm_db_row,Arm-Out Single-Arm DB Row,Back,,Upper Back,,
